,timestep,reward
0,9192.0,-3.188035272529898
1,17384.0,-3.0026364727886725
2,25576.0,-4.584975476259372
3,33768.0,-1.4641987614530192
4,41960.0,-3.316666827281722
5,50152.0,-4.272670437042102
6,58344.0,-2.7090348713219496
7,66536.0,-5.048207826011636
8,74728.0,-3.755046158409205
9,82920.0,-3.0017480123687745
10,91112.0,-2.9956235411995857
11,99304.0,-3.137028489085933
12,107496.0,-4.489673680460036
13,115688.0,-3.012152906287223
14,123880.0,-3.6303696565944654
15,132072.0,-3.105969228110307
16,140264.0,-2.0311172374745747
17,148456.0,-2.2671067227061217
18,156648.0,-1.95948268122667
19,164840.0,-1.2000132365595264
20,173032.0,-1.4472506452374974
21,181224.0,-2.164464199707428
22,189416.0,-0.5900516201015265
23,197608.0,-2.7048746571738747
24,205800.0,-2.3781269535798537
25,213992.0,-1.6406580834530091
26,222184.0,-1.1951183132579108
27,230376.0,-1.35021419050941
28,238568.0,-2.0523630670775854
29,246760.0,-2.3740781899972174
30,254952.0,-0.7864042614526665
31,263144.0,-1.490966861148391
32,271336.0,-1.2126706276428973
33,279528.0,-1.222427893144545
34,287720.0,-2.5910760997803077
35,295912.0,-1.6993698815242946
36,304104.0,-1.8452728218937082
37,312296.0,-2.1468704446141347
38,320488.0,-1.3307858020724743
39,328680.0,-2.2046131888083145
40,336872.0,-1.1024593299303183
41,345064.0,-1.4063252414622063
42,353256.0,-2.0332949988588602
43,361448.0,5.927364029510988
44,369640.0,7.8226912660876184
45,377832.0,1425.1379823764248
46,386024.0,1591.1387832155408
47,394216.0,755.4434448999172
48,402408.0,2507.6289689159944
49,410600.0,2668.103368169262
50,418792.0,2898.853466496017
51,426984.0,2901.2843259443384
52,435176.0,1514.1417151772653
53,443368.0,2689.885808383455
54,451560.0,2937.9546199599927
55,459752.0,3205.9586799925164
56,467944.0,3199.869612789278
57,476136.0,2558.5064622425143
58,484328.0,3177.660485002077
59,492520.0,964.7823755310918
60,500712.0,2530.540827788727
61,508904.0,144.58375057999137
62,517096.0,85.18519602472023
63,525288.0,1491.428545894975
64,533480.0,987.2153657531247
65,541672.0,40.2795336636776
66,549864.0,3092.425390489871
67,558056.0,916.9394101259402
68,566248.0,-363.46481231932535
69,574440.0,2604.273725863602
70,582632.0,2674.775177497048
71,590824.0,2642.4637309707778
72,599016.0,2635.2145139203494
73,607208.0,2681.9024860781055
74,615400.0,2410.5773314787493
75,623592.0,2434.28338432878
76,631784.0,2387.333234152845
77,639976.0,2323.0927232933523
78,648168.0,2318.1628535676437
79,656360.0,2212.9282522889066
80,664552.0,2290.1446739322537
81,672744.0,2334.687147136252
82,680936.0,2384.4908534485685
83,689128.0,2244.6089934976662
84,697320.0,795.1707143626309
85,705512.0,2321.348180191559
86,713704.0,2342.1192326394644
87,721896.0,2444.1976088688402
88,730088.0,2459.3554159402497
89,738280.0,2207.4640698139497
90,746472.0,2386.681290641814
91,754664.0,2412.42915046235
92,762856.0,2279.3597787611675
93,771048.0,2296.1941153618914
94,779240.0,2189.2708282695958
95,787432.0,2241.3971200359038
96,795624.0,2256.5853741884507
97,803816.0,2091.289812677991
98,812008.0,-702.9312108957608
99,820200.0,1842.2301092780463
100,828392.0,-797.7415938517663
101,836584.0,2096.884820537087
102,844776.0,-511.42409689731414
103,852968.0,-602.4102359976067
104,861160.0,270.5538043681307
105,869352.0,-748.2363539263504
106,877544.0,-843.396428322473
107,885736.0,-862.197102449411
108,893928.0,-942.4744174469889
109,902120.0,-346.7306435315281
110,910312.0,-566.5866728897712
111,918504.0,-249.49470381178853
112,926696.0,-249.916171163388
113,934888.0,1197.019071178611
114,943080.0,2019.8313488170825
115,951272.0,-202.6436053095576
116,959464.0,1928.6144132009981
117,967656.0,-213.11069775725554
118,975848.0,625.924462874689
119,984040.0,-564.1883968619396
120,992232.0,-5.25314852701727
121,1000424.0,1669.797121938505
122,1008616.0,1643.8563305144403
